food_name,category,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,calcium_mg,iron_mg
green tea,Beverages,1,0.2,0,0,0,0,1,0,0.02
orange juice,Beverages,45,0.7,10.4,0.2,0.2,8.4,1,11,0.2
butter,Dairy,717,0.9,0.1,81.1,0,0.1,576,24,0.02
cheddar cheese,Dairy,403,25,1.3,33.1,0,0.5,621,710,0.68
cottage cheese,Dairy,98,11.1,3.4,4.3,0,2.7,364,83,0.15
cream cheese,Dairy,342,6.2,4.1,34.2,0,3.8,321,98,0.11
greek yogurt,Dairy,59,10.2,3.6,0.4,0,3.2,36,111,0.07
low fat yogurt,Dairy,63,5.3,7,1.5,0,7,70,183,0.08
mozzarella,Dairy,280,28,2.2,17.1,0,1,627,505,0.44
skimmed milk,Dairy,34,3.4,5,0.2,0,5,52,122,0.03
whole milk,Dairy,61,3.2,4.8,3.3,0,4.8,44,113,0.03
egg white,Eggs,52,10.9,0.7,0.2,0,0.7,166,7,0.08
egg whole,Eggs,155,13,1.1,10.6,0,1.1,124,56,1.75
egg yolk,Eggs,322,15.9,3.6,26.5,0,3.6,48,129,2.73
coconut oil,Fats & Oils,862,0,0,100,0,0,0,1,0.05
olive oil,Fats & Oils,884,0,0,100,0,0,2,1,0.56
apple,Fruits,52,0.3,13.8,0.2,2.4,10.4,1,6,0.12
avocado,Fruits,160,2,8.5,14.7,6.7,0.7,7,12,0.55
banana,Fruits,89,1.1,23,0.3,2.6,12.2,1,5,0.26
grapes,Fruits,69,0.7,18.1,0.2,0.9,15.5,2,10,0.36
mango,Fruits,60,0.8,15,0.4,1.6,13.7,1,11,0.16
orange,Fruits,47,0.9,11.8,0.1,2.4,9.4,0,40,0.1
pineapple,Fruits,50,0.5,13.1,0.1,1.4,9.9,1,13,0.29
strawberry,Fruits,32,0.7,7.7,0.3,2,4.9,1,16,0.41
watermelon,Fruits,30,0.6,7.6,0.2,0.4,6.2,1,7,0.24
brown rice cooked,Grains & Cereals,112,2.6,23.5,0.9,1.8,0.4,5,10,0.52
corn flakes,Grains & Cereals,357,7.5,84,0.4,2.4,8,730,3,8.3
oatmeal cooked,Grains & Cereals,68,2.4,12,1.4,1.7,0.3,49,11,0.7
pasta cooked,Grains & Cereals,131,5,25.1,1.1,1.8,0.6,1,7,0.67
quinoa cooked,Grains & Cereals,120,4.4,21.3,1.9,2.8,0.9,7,17,1.49
white bread,Grains & Cereals,265,9,50.6,3.2,2.3,5,490,77,3
white rice cooked,Grains & Cereals,130,2.7,28.2,0.3,0.4,0,1,10,0.2
whole wheat bread,Grains & Cereals,247,13,41.3,3.4,6.9,5.6,400,107,3.6
black beans cooked,Legumes,132,8.9,23.7,0.5,8.7,0.3,1,27,2.1
chickpeas cooked,Legumes,164,8.9,27.4,2.6,7.6,4.8,7,49,2.89
kidney beans cooked,Legumes,127,8.7,22.8,0.5,7.4,0.3,2,28,2.21
lentils cooked,Legumes,116,9,20.1,0.4,7.9,1.8,2,19,3.33
